Player_ID,Last,First,Suffix,Draft_Year,Draft_Round,Draft_Pick,College,Conference,IS_D1,Birthday,Age_At_Draft
Sammkins14,Watkins,Sammy,,2014,1,4,Clemson,ACC,Yes,14-Jun-93,20.91
Mikevans14,Evans,Mike,,2014,1,7,Texas A&M,SEC,Yes,21-Aug-93,20.73
Odelkham14,Beckham,Odell,Jr.,2014,1,12,LSU,SEC,Yes,5-Nov-92,21.52
Branooks14,Cooks,Brandin,,2014,1,20,Oregon State,Pac-12,Yes,25-Sep-93,20.63
Kelvamin14,Benjamin,Kelvin,,2014,1,28,Florida State,ACC,Yes,5-Feb-91,23.27
MarqLee14,Lee,Marqise,,2014,2,39,USC,Pac-12,Yes,25-Nov-91,22.47
Jordhews14,Matthews,Jordan,,2014,2,42,Vanderbilt,SEC,Yes,16-Jul-92,21.82
Pauldson14,Richardson,Paul,,2014,2,45,Colorado,Pac-12,Yes,13-Apr-92,22.08
Davadams14,Adams,Davante,,2014,2,53,Fresno State,Mountain West,Yes,24-Dec-92,21.38
Codyimer14,Latimer,Cody,,2014,2,56,Indiana,Big Ten,Yes,10-Oct-92,21.59
Allenson14,Robinson,Allen,,2014,2,61,Penn State,Big Ten,Yes,24-Aug-93,20.72
Jarvndry14,Landry,Jarvis,,2014,2,63,LSU,SEC,Yes,28-Nov-92,21.45
JoshHuff14,Huff,Josh,,2014,3,86,Oregon,Pac-12,Yes,14-Oct-91,22.58
Dontrief14,Moncrief,Donte,,2014,3,90,Ole Miss,SEC,Yes,6-Aug-93,20.77
Johnrown14,Brown,John,,2014,3,91,Pittsburg State,MIAA,No,3-Apr-90,24.11
Jaleders14,Saunders,Jalen,,2014,4,104,Oklahoma,Big 12,Yes,30-Sep-92,21.62
Brucgton14,Ellington,Bruce,,2014,4,106,South Carolina,SEC,Yes,22-Aug-91,22.73
Shaqvans14,Evans,Shaq,,2014,4,115,UCLA,Pac-12,Yes,7-Mar-91,23.19
Martyant14,Bryant,Martavis,,2014,4,118,Clemson,ACC,Yes,20-Dec-91,22.4
Keviwood14,Norwood,Kevin,,2014,4,123,Alabama,SEC,Yes,23-Sep-89,24.64
Ryanrant14,Grant,Ryan,,2014,5,142,Tulane,C-USA,Yes,19-Dec-90,23.4
Devireet14,Street,Devin,,2014,5,146,Pittsburgh,ACC,Yes,30-Mar-91,23.12
Jareeris14,Abbrederis,Jared,,2014,5,176,Wisconsin,Big Ten,Yes,17-Dec-90,23.41
Roberron14,Herron,Robert,,2014,6,185,Wyoming,Mountain West,Yes,2-Jun-92,21.95
TJones14,Jones,T.J.,,2014,6,189,Notre Dame,Independents,Yes,19-Jul-92,21.82
Mattazel14,Hazel,Matt,,2014,6,190,Coastal Carolina,Big South,No,23-Jan-92,22.3
Waltwell14,Powell,Walt,,2014,6,196,Murray State,OVC,No,23-Nov-91,22.47
Quinunwa14,Enunwa,Quincy,,2014,6,209,Nebraska,Big Ten,Yes,31-May-92,21.95
Michnaro14,Campanaro,Michael,,2014,7,218,Wake Forrest,ACC,Yes,25-Jan-91,23.3
Jeffanis14,Janis,Jeff,,2014,7,236,Saginaw Valley State,GLIAC,No,9-Jun-91,22.93
Jameight14,Wright,James,,2014,7,239,LSU,SEC,Yes,31-Dec-91,22.37
Tevieese14,Reese,Tevin,,2014,7,240,Baylor,Big 12,Yes,2-Jan-91,23.36
Jerellon14,Gallon,Jeremy,,2014,7,244,Michigan,Big Ten,Yes,9-Feb-90,24.26
Aarourks14,Burks,Aaron,,2014,8,260,Boise State,Mountain West,Yes,,
Albelson14,Wilson,Albert,,2014,8,260,Georgia State,Sun Belt,Yes,12-Jul-92,21.84
Alleurns14,Hurns,Allen,,2014,8,260,Miami,ACC,Yes,12-Nov-91,22.5
Austklin14,Franklin,Austin,,2014,8,260,New Mexico State,Sun Belt,Yes,7-Jul-93,20.85
Bennwler14,Fowler,Bennie,,2014,8,260,Michigan State,Big Ten,Yes,10-Jun-91,22.93
Berneedy14,Reedy,Bernard,,2014,8,260,Toledo,MAC,Yes,31-Dec-91,22.37
Braneman14,Coleman,Brandon,,2014,8,260,Rutgers,Big Ten,Yes,22-Jun-92,21.89
Brelllor14,Chancellor,Brelan,,2014,8,260,North Texas,C-USA,Yes,6-Aug-92,21.77
Chanones14,Jones,Chandler,,2014,8,260,San Jose State,Mountain West,Yes,28-Nov-91,22.46
ChriBoyd14,Boyd,Chris,,2014,8,260,Vanderbilt,SEC,Yes,16-Dec-91,22.41
Codyfman14,Hoffman,Cody,,2014,8,260,BYU,Independents,Yes,,
Corerown14,Brown,Corey,,2014,8,260,Ohio State,Big Ten,Yes,16-Dec-91,22.41
DJoles14,Coles,D.J.,,2014,8,260,Virginia Tech,ACC,Yes,,
Damiland14,Copeland,Damian,,2014,8,260,Louisville,ACC,Yes,17-Oct-90,23.57
Dontster14,Foster,Donte,,2014,8,260,Ohio,MAC,Yes,10-Nov-90,23.51
GeraFord14,Ford,Gerald,,2014,8,260,Valdosta State,Gulf South,No,,
Isaiurse14,Burse,Isaiah,,2014,8,260,Fresno State,Mountain West,Yes,8-Dec-91,22.43
Jazolds14,Reynolds,Jaz,,2014,8,260,Oklahoma,Big 12,Yes,,
Joshwart14,Stewart,Josh,,2014,8,260,Oklahoma State,Big 12,Yes,22-Oct-92,21.56
Kainlter14,Colter,Kain,,2014,8,260,Northwestern,Big Ten,Yes,3-Oct-90,23.61
LDamgton14,Washington,L'Damian,,2014,8,260,Missouri,SEC,Yes,10-May-91,23.01
Marcucas14,Lucas,Marcus,,2014,8,260,Missouri,SEC,Yes,1-Mar-92,22.2
Mikeavis14,Davis,Mike,,2014,8,260,Texas,Big 12,Yes,11-May-92,22.01
Nathhter14,Slaughter,Nathan,,2014,8,260,West Texas State,Lone Star,No,21-Aug-92,21.73
Rashence14,Lawrence,Rashad,,2014,8,260,Northwestern,Big Ten,Yes,10-Jun-92,21.92
Ryanford14,Lankford,Ryan,,2014,8,260,Illinois,Big Ten,Yes,9-Dec-91,22.43
Seanones14,Jones,Seantavius,,2014,8,260,Valdosta State,Gulf South,No,9-Aug-92,21.76
Solotton14,Patton,Solomon,,2014,8,260,Florida,SEC,Yes,17-Oct-90,23.57
Taylriel14,Gabriel,Taylor,,2014,8,260,Abilene Christian,Southland,No,17-Feb-91,23.24
Torrllen14,Allen,Torrence,,2014,8,260,West Texas State,Lone Star,No,31-Mar-91,23.12
Willnead14,Snead,Willie,,2014,8,260,Ball State,MAC,Yes,17-Oct-92,21.57
Amaroper15,Cooper,Amari,,2015,1,4,Alabama,SEC,Yes,17-Jun-94,20.88
Kevihite15,White,Kevin,,2015,1,7,West Virginia,Big 12,Yes,25-Jun-92,22.86
DeVarker15,Parker,DeVante,,2015,1,14,Louisville,ACC,Yes,20-Jan-93,22.29
Nelsolor15,Agholor,Nelson,,2015,1,20,USC,Pac-12,Yes,24-May-93,21.95
Bresiman15,Perriman,Breshad,,2015,1,26,UCF,American,Yes,10-Sep-93,21.65
Philsett15,Dorsett,Phillip,,2015,1,29,Miami,ACC,Yes,5-Jan-93,22.33
Devimith15,Smith,Devin,,2015,2,37,Ohio State,Big Ten,Yes,3-Mar-92,23.17
Dorikham15,Green-Beckham,Dorial,,2015,2,40,Missouri,SEC,Yes,12-Apr-93,22.06
Devihess15,Funchess,Devin,,2015,2,41,Michigan,Big Ten,Yes,21-May-94,20.96
Tylekett15,Lockett,Tyler,,2015,3,69,Kansas State,Big 12,Yes,28-Sep-92,22.6
Jaelrong15,Strong,Jaelen,,2015,3,70,Arizona State,Pac-12,Yes,25-Jan-94,21.27
Chrinley15,Conley,Chris,,2015,3,76,Georgia,SEC,Yes,25-Oct-92,22.53
Sammates15,Coates,Sammie,,2015,3,87,Auburn,SEC,Yes,31-Mar-93,22.1
Jamiwder15,Crowder,Jamison,,2015,4,105,Duke,ACC,Yes,17-Jun-93,21.88
Justardy15,Hardy,Justin,,2015,4,107,East Carolina,American,Yes,18-Dec-91,23.38
Vincayle15,Mayle,Vince,,2015,4,123,Washington State,Pac-12,Yes,12-Jun-91,23.9
DeAnlter15,Smelter,DeAndre,,2015,4,132,Georgia Tech,ACC,Yes,3-Dec-91,23.42
Rasheene15,Greene,Rashad,,2015,5,139,Florida State,ACC,Yes,23-Sep-92,22.61
Stefiggs15,Diggs,Stefon,,2015,5,146,Maryland,Big Ten,Yes,29-Nov-93,21.43
Tonypett15,Lippett,Tony,,2015,5,156,Michigan State,Big Ten,Yes,2-Jul-92,22.84
JJlson15,Nelson,JJ,,2015,5,159,UAB,C-USA,Yes,24-Apr-92,23.03
KennBell15,Bell,Kenny,,2015,5,162,Nebraska,Big Ten,Yes,25-Feb-92,23.19
Keithery15,Mumphery,Keith,,2015,5,175,Michigan State,Big Ten,Yes,5-Jun-92,22.92
KaelClay15,Clay,Kaelin,,2015,6,184,Utah,Pac-12,Yes,3-Jan-92,23.34
Gereavis15,Davis,Geremy,,2015,6,186,Uconn,American,Yes,10-Jan-92,23.32
Evanncer15,Spencer,Evan,,2015,6,187,Ohio State,Big Ten,Yes,26-May-93,21.94
Budsser15,Sasser,Bud,,2015,6,201,Missouri,SEC,Yes,29-May-92,22.93
Nealling15,Sterling,Neal,,2015,7,220,Monmouth,Big South,No,14-Jan-92,23.31
Andrbose15,Debose,Andre,,2015,7,221,Florida,SEC,Yes,12-Sep-90,24.65
DaRorown15,Brown,Da'Ron,,2015,7,233,Northern Illinois,MAC,Yes,21-Oct-91,23.54
Dezmewis15,Lewis,Dezmin,,2015,7,234,Central Arkansas,Southland,No,5-Dec-92,22.41
Mariford15,Alford,Mario,,2015,7,238,West Virginia,Big 12,Yes,25-Feb-92,23.19
Treride15,McBride,Tre,,2015,7,245,William & Mary,CAA,No,1-Dec-92,22.42
Adamries15,Humphries,Adam,,2015,8,260,Clemson,ACC,Yes,24-Jun-93,21.86
Andravis15,Davis,Andre,,2015,8,260,South Florida,American,Yes,,
Antwdley15,Goodley,Antwan,,2015,8,260,Baylor,Big 12,Yes,,
AustHill15,Hill,Austin,,2015,8,260,Arizona,Pac-12,Yes,,
Camrthy15,Worthy,Cam,,2015,8,260,East Carolina,American,Yes,,
Camedith15,Meredith,Cameron,,2015,8,260,Illinois State,MVFC,No,,
Chriones15,Jones,Christion,,2015,8,260,Alabama,SEC,Yes,,
DamiByrd15,Byrd,Damiere,,2015,8,260,South Carolina,SEC,Yes,,
Dariings15,Jennings,Darius,,2015,8,260,Virginia,ACC,Yes,,
DaVaiels15,Daniels,DaVaris,,2015,8,260,Notre Dame,Independents,Yes,,
DeAnrter15,Carter,DeAndre,,2015,8,260,Sacramento State,Big Sky,No,,
DeAnhite15,White,DeAndrew,,2015,8,260,Alabama,SEC,Yes,,
DeonLong15,Long,Deon,,2015,8,260,Maryland,Big Ten,Yes,,
Deonerry15,Greenberry,Deontay,,2015,8,260,Houston,American,Yes,,
Devaavis15,Davis,Devante,,2015,8,260,UNLV,Mountain West,Yes,,
Donakett15,Luckett,Donatella,,2015,8,260,Harding,GAC,No,,
Dresrson15,Anderson,Dres,,2015,8,260,Utah,Mountain West,Yes,,
Eligers15,Rogers,Eli,,2015,8,260,Louisville,ACC,Yes,,
Ezelffin15,Ruffin,Ezell,,2015,8,260,San Diego State,Mountain West,Yes,,
Jakeerow15,Kumerow,Jake,,2015,8,260,Wisconsin-Whitewater,WIAC,No,,
Jaxopley15,Shipley,Jaxon,,2015,8,260,Texas,Big 12,Yes,,
Johnrris15,Harris,John,,2015,8,260,Texas,Big 12,Yes,,
Jordylor15,Taylor,Jordan,,2015,8,260,Rice,C-USA,Yes,,
Joshrper15,Harper,Josh,,2015,8,260,Fresno State,Mountain West,Yes,,
Kaseiams15,Williams,Kasen,,2015,8,260,Washington,Pac-12,Yes,,
Leviwood15,Norwood,Levi,,2015,8,260,Baylor,Big 12,Yes,,
Michnett15,Bennett,Michael,,2015,8,260,Georgia,SEC,Yes,,
NigeKing15,King,Nigel,,2015,8,260,Kansas,Big 12,Yes,,
RannHall15,Hall,Rannell,,2015,8,260,UCF,American,Yes,,
Tituavis15,Davis,Titus,,2015,8,260,Central Michigan,MAC,Yes,,
Tyreiams15,Williams,Tyrell,,2015,8,260,Western Oregon,GNAC,No,,
Zachazio15,D'Orazio,Zach,,2015,8,260,Akron,MAC,Yes,,
Coreeman16,Coleman,Corey,,2016,1,15,Baylor,Big 12,Yes,,
Willller16,Fuller,Will,,2016,1,21,Notre Dame,Independents,Yes,,
Joshtson16,Doctson,Josh,,2016,1,22,TCU,Big 12,Yes,,
Laquwell16,Treadwell,Laquon,,2016,1,23,Ole Miss,SEC,Yes,,
Sterpard16,Shepard,Sterling,,2016,2,40,Oklahoma,Big 12,Yes,,
Michomas16,Thomas,Michael,,2016,2,47,Ohio State,Big Ten,Yes,,
TyleBoyd16,Boyd,Tyler,,2016,2,55,Pittsburgh,ACC,Yes,,
Braxller16,Miller,Braxton,,2016,3,85,Ohio State,Big Ten,Yes,,
Leonrroo16,Carroo,Leonte,,2016,3,86,Rutgers,Big Ten,Yes,,
Chrioore16,Moore,Chris,,2016,4,107,Cincinnati,American,Yes,,
Malchell16,Mitchell,Malcolm,,2016,4,112,Georgia,SEC,Yes,,
Ricaouis16,Louis,Ricardo,,2016,4,114,Auburn,SEC,Yes,,
Pharoper16,Cooper,Pharoh,,2016,4,117,South Carolina,SEC,Yes,,
Demanson16,Robinson,Demarcus,,2016,4,126,Florida,SEC,Yes,,
Tajaarpe16,Sharpe,Tajae,,2016,5,140,UMass,MAC,Yes,,
Jordyton16,Payton,Jordan,,2016,5,154,UCLA,Pac-12,Yes,,
Trevavis16,Davis,Trevor,,2016,5,163,California,Pac-12,Yes,,
TyreHill16,Hill,Tyreek,,2016,5,165,West Alabama,Gulf South,No,,
Rashgins16,Higgins,Rashard,,2016,5,172,Colorado State,Mountain West,Yes,,
Moringer16,Boehringer,Moritz,,2016,6,180,Europe,Europe,No,,
Jakerant16,Grant,Jakeem,,2016,6,186,Texas Tech,Big 12,Yes,,
Kolbnbee16,Listenbee,Kolby,,2016,6,192,TCU,Big 12,Yes,,
CodyCore16,Core,Cody,,2016,6,199,Ole Miss,SEC,Yes,,
Mikeomas16,Thomas,Mike,,2016,6,206,Southern Miss,C-USA,Yes,,
Aaroidge16,Burbridge,Aaron,,2016,6,213,Michigan State,Big Ten,Yes,,
Devicien16,Lucien,Devin,,2016,7,225,Arizona State,Pac-12,Yes,,
DeMayers16,Ayers,DeMarcus,,2016,7,229,Houston,American,Yes,,
Danirman16,Braverman,Daniel,,2016,7,230,Western Michigan,MAC,Yes,,
Deviller16,Fuller,Devin,,2016,7,238,UCLA,Pac-12,Yes,,
Chareake16,Peake,Charone,,2016,7,241,Clemson,ACC,Yes,,
Kennwler16,Lawler,Kenny,,2016,7,243,California,Pac-12,Yes,,
Alexkson16,Erickson,Alex,,2016,8,260,Wisconsin,Big Ten,Yes,,
Alonsell16,Russell,Alonzo,,2016,8,260,Toledo,MAC,Yes,,
Andyones16,Jones,Andy,,2016,8,260,Jacksonville,Pioneer,No,,
Bralison16,Addison,Bralon,,2016,8,260,Oregon,Pac-12,Yes,,
Byrohall16,Marshall,Byron,,2016,8,260,Oregon,Pac-12,Yes,,
Caylones16,Jones,Cayleb,,2016,8,260,Arizona,Pac-12,Yes,,
Chesgers16,Rogers,Chester,,2016,8,260,Grambling State,SWAC,No,,
Chosrson16,Anderson,Chosen,,2016,8,260,Temple,American,Yes,,
Chrirown16,Brown,Chris,,2016,8,260,Notre Dame,Independents,Yes,,
DJster16,Foster,D.J.,,2016,8,260,Arizona State,Pac-12,Yes,,
Devouste16,Cajuste,Devon,,2016,8,260,Stanford,Pac-12,Yes,,
Dukeiams16,Williams,Duke,,2016,8,260,Auburn,SEC,Yes,,
Geroison16,Allison,Geronimo,,2016,8,260,Illinois,Big Ten,Yes,,
Huntharp16,Sharp,Hunter,,2016,8,260,Utah State,Mountain West,Yes,,
Jalihall16,Marshall,Jalin,,2016,8,260,Ohio State,Big Ten,Yes,,
Jareield16,Dangerfield,Jared,,2016,8,260,Western Kentucky,C-USA,Yes,,
JayLee16,Lee,Jay,,2016,8,260,Baylor,Big 12,Yes,,
Jaydkens16,Mickens,Jaydon,,2016,8,260,Washington,Pac-12,Yes,,
Johnlton16,Holton,Johnny,,2016,8,260,Cincinnati,American,Yes,,
KJMaye16,Maye,K.J.,,2016,8,260,Minnesota,Big Ten,Yes,,
Kalimond16,Raymond,Kalif,,2016,8,260,Holy Cross,Patriot,No,,
Keyarett16,Garrett,Keyarris,,2016,8,260,Tulsa,American,Yes,,
Marqorth16,North,Marquez,,2016,8,260,Tennessee,SEC,Yes,,
MarvHall16,Hall,Marvin,,2016,8,260,Washington,Pac-12,Yes,,
Maurrris16,Harris,Maurice,,2016,8,260,California,Pac-12,Yes,,
MekacKay16,McKay,Mekale,,2016,8,260,Cincinnati,American,Yes,,
Nelsruce16,Spruce,Nelson,,2016,8,260,Colorado,Pac-12,Yes,,
Paulerts16,McRoberts,Paul,,2016,8,260,Southeast Missouri State,OVC,No,,
Rashcott16,Scott,Rashawn,,2016,8,260,Miami,ACC,Yes,,
Rogeewis16,Lewis,Roger,,2016,8,260,Bowling Green,MAC,Yes,,
Tommewis16,Lewis,Tommylee,,2016,8,260,Northern Illinois,MAC,Yes,,
Coreavis17,Davis,Corey,,2017,1,5,Western Michigan,MAC,Yes,,
Mikeiams17,Williams,Mike,,2017,1,7,Clemson,ACC,Yes,,
JohnRoss17,Ross,John,,2017,1,9,Washington,Pac-12,Yes,,
Zayones17,Jones,Zay,,2017,2,37,East Carolina,American,Yes,,
Curtmuel17,Samuel,Curtis,,2017,2,40,Ohio State,Big Ten,Yes,,
JuJuster17,Smith-Schuster,JuJu,,2017,2,62,USC,Pac-12,Yes,,
CoopKupp17,Kupp,Cooper,,2017,3,69,Eastern Washington,Big Sky,No,,
Taywylor17,Taylor,Taywan,,2017,3,72,Western Kentucky,C-USA,Yes,,
ArDawart17,Stewart,ArDarius,,2017,3,79,Alabama,SEC,Yes,,
